Object ID,RADEG,DECDEG,Pgc,Nearest field,Distance to nearest field
3.2420966508425344e+17,22.097989,41.053956,0.01,m240,40.41801472859219
2.8594518940981996e+18,8.588823,31.267246,0.0,m039,31.907369625110412
3.909684033528535e+17,8.230279,48.8731,0.01,m402,30.389269168041068
3.651575396865119e+17,7.489441,34.247456,0.03,m099,35.29258897311522
4.0354173113279616e+17,18.528328,50.445705,0.04,m388,272.1586148383975
2.860796459380072e+18,4.017487,30.446437,0.1,m054,229.93298580141735
3.710464896057216e+17,17.240849,39.54804,0.1,m200,56.06873724350599
3.943975395985897e+17,4.718824,49.781574,0.0,m404,47.653628230392805
3.665146119131538e+17,8.397709,36.323026,0.04,m144,49.46989383543621
3.241338288456301e+17,22.672452,40.638148,0.0,m240,33.21162159187487
3.8038233975725056e+17,5.037307,40.488317,0.01,m230,56.83505817207857
4.149626633509623e+17,12.943097,50.729704,0.07,m396,249.80800047731057
3.792441734227908e+17,6.010648,38.747835,0.33,m206,51.57610805694811
3.095538622798844e+17,20.748928,30.465787,0.05,m027,34.11032806004989
3.8495225368104794e+17,1.461387,43.826512,0.01,m310,13.327186506412096
3.936439961827489e+17,3.158053,49.006182,0.0,m399,63.28094548183437
3.64257898657216e+17,14.206056,36.226567,0.01,m143,22.36041895233268
2.8631454242385326e+18,7.201665,33.987131,0.13,m099,30.712127883653746
4.016917340968662e+17,17.132227,47.820212,0.15,m388,53.53005289754858
3.842166804014396e+17,0.756967,41.184886,0.1,m243,40.743874582228024
4.1591563499505754e+17,8.602351,51.714974,0.0,m406,178.49601737814325
3.218918945728659e+17,19.550928,37.676971,0.0,m175,23.412758222981875
3.6235230756642816e+17,9.933922,34.231507,0.0,m103,42.619346598587455
3.815189255430291e+17,8.86582,42.245979,0.0,m276,15.404758860685819
3.7348266377591334e+17,19.600683,43.472125,0.0,m308,46.78526617165076
3.2294608570546394e+17,22.562411,38.712281,0.04,m194,38.658010768084154
3.0924702981638144e+17,22.460134,29.982159,0.01,m018,10.50257705318027
2.8743387274875146e+18,1.650171,33.571049,0.01,m095,93.34504849692603
3.8362098132146995e+17,4.617605,41.995389,0.01,m272,16.786972824742772
3.9504676685414144e+17,3.635836,51.857429,0.03,m404,224.99828261810214
3.705949682837637e+17,16.207122,38.537638,0.05,m181,55.10641057470211
2.8819906455187046e+18,0.765466,40.441082,0.09,m243,51.240191769012306
3.859773378189706e+17,3.455226,44.767432,0.02,m333,59.97648290168452
2.8606857866622894e+18,3.812185,29.984679,0.0,m054,284.3591330566739
4.036010317440334e+17,17.740032,50.537877,0.0,m388,276.7034701009376
4.161203460167552e+17,9.134792,52.202621,0.07,m406,240.0872922051202
4.0484767606856e+17,16.486134,52.130625,0.04,m391,447.36165630334125
3.6134652930530394e+17,12.417476,33.321979,0.04,m082,37.48649161751145
3.132822718503292e+17,16.202508,30.748528,0.01,m033,63.22723455621426
3.877537062288453e+17,9.715369,43.883639,0.0,m307,20.24172139578364
3.6493028437671795e+17,8.474687,34.098567,0.01,m101,26.38934188281553
2.877677398841297e+18,2.614544,37.425124,0.03,m158,41.97632622591667
2.8810661623963177e+18,1.511248,39.235424,0.23,m199,52.71032281521203
3.134307402800429e+17,16.87217,31.678233,0.03,m052,58.069573082381545
3.7592313291293376e+17,12.937584,43.747411,0.1,m301,64.48921443160309
4.006895593136178e+17,21.685869,49.974312,0.01,m380,259.1487902606315
4.0505483093468326e+17,15.893758,52.4282,0.03,m391,481.7696902342168
4.156948736761293e+17,9.01917,51.316047,0.01,m406,145.26876977821638
3.729981571044595e+17,17.907682,41.783456,0.01,m269,52.85878227855557
3.718841456670079e+17,19.325788,40.237764,0.0,m219,54.46413725094781
3.9181317188043226e+17,5.989326,45.001477,0.0,m341,46.411841778872805
3.6770022904504346e+17,12.00979,37.954638,0.0,m188,30.397857382630004
4.044226804648353e+17,16.139775,51.203077,0.0,m391,344.7046096175883
3.7034994898952435e+17,18.550967,39.745516,0.01,m222,25.757946393447106
3.8193817877543104e+17,7.735538,42.192954,0.12,m277,29.545713653913428
2.8589892359260027e+18,6.94129,30.021043,0.03,m041,149.75727813963238
2.8760539699215145e+18,2.69702,35.014585,0.37,m118,52.91920663211673
3.7893129364625075e+17,7.29571,38.034659,0.06,m183,17.25164005743115
2.8605348786919987e+18,5.371203,29.906493,0.0,m041,198.71727068678936
4.162041537127026e+17,10.338194,52.739628,0.14,m406,327.345177905144
3.644979014298564e+17,14.552647,37.573987,0.0,m162,60.924335979997124
3.68879042949206e+17,11.872726,39.673246,0.0,m214,44.99138634952761
3.686642945852938e+17,9.602245,39.232222,0.07,m210,7.631093201605846
2.8575221481129784e+18,5.300759,29.646035,0.07,m041,226.3599638972902
