Unnamed: 0,ID,RAdeg,DECdeg,G_mag,g_mag,g_r,logExcess,Gp_G,Pext,Pgc
3615,324209665084253440,22.097989,41.053956,20.802,19.404,0.822,1.117,-2.364,1.0,0.01
17275,2859451894098199680,8.588823,31.267246,20.591,18.966,0.75,1.252,-2.468,1.0,0.0
13020,390968403352853504,8.230279,48.8731,19.83,18.903,0.956,0.863,-1.895,1.0,0.01
4936,365157539686511872,7.489441,34.247456,19.997,19.263,0.765,0.691,-1.475,0.94,0.03
15699,403541731132796160,18.528328,50.445705,17.933,18.801,1.256,0.422,-0.517,0.88,0.04
18178,2860796459380072064,4.017487,30.446437,20.898,19.428,0.713,0.8,-2.139,0.9,0.1
7182,371046489605721600,17.240849,39.54804,20.403,19.267,0.509,0.791,-1.936,0.84,0.1
13907,394397539598589696,4.718824,49.781574,21.491,19.34,0.547,1.377,-2.942,1.0,0.0
5392,366514611913153792,8.397709,36.323026,21.171,19.316,0.516,1.149,-2.619,1.0,0.04
3647,324133828845630080,22.672452,40.638148,20.28,19.394,1.054,0.949,-1.927,1.0,0.0
9943,380382339757250560,5.037307,40.488317,21.264,19.39,0.995,1.3,-2.707,1.0,0.01
16370,414962663350962304,12.943097,50.729704,21.662,19.025,0.369,1.426,-3.184,1.0,0.07
9788,379244173422790784,6.010648,38.747835,17.135,18.043,1.195,0.469,-0.623,0.62,0.33
223,309553862279884416,20.748928,30.465787,20.714,19.14,0.73,1.052,-2.346,1.0,0.05
11530,384952253681047936,1.461387,43.826512,20.445,18.782,1.11,1.031,-2.467,0.98,0.01
13717,393643996182748928,3.158053,49.006182,21.108,19.399,0.907,1.28,-2.657,1.0,0.0
4583,364257898657216000,14.206056,36.226567,20.658,18.622,0.502,1.26,-2.668,1.0,0.01
19006,2863145424238532736,7.201665,33.987131,20.468,19.246,0.399,0.847,-1.79,0.82,0.13
15321,401691734096866176,17.132227,47.820212,17.363,17.448,0.587,0.294,-0.316,0.56,0.15
11260,384216680401439616,0.756967,41.184886,19.771,18.808,0.659,0.875,-2.045,1.0,0.1
16612,415915634995057536,8.602351,51.714974,20.332,18.928,0.827,1.104,-2.312,1.0,0.0
3065,321891894572865920,19.550928,37.676971,20.555,19.291,0.88,1.069,-2.143,1.0,0.0
4135,362352307566428160,9.933922,34.231507,20.588,19.398,0.907,1.127,-2.143,1.0,0.0
10568,381518925543029120,8.86582,42.245979,19.588,17.898,0.762,1.287,-2.609,1.0,0.0
7810,373482663775913344,19.600683,43.472125,20.424,19.002,0.622,1.145,-2.311,1.0,0.0
3144,322946085705463936,22.562411,38.712281,20.468,19.494,0.972,0.886,-2.012,1.0,0.04
205,309247029816381440,22.460134,29.982159,20.732,19.095,0.637,0.99,-2.251,0.94,0.01
19645,2874338727487514624,1.650171,33.571049,19.727,18.631,0.892,0.985,-1.893,1.0,0.01
11136,383620981321469952,4.617605,41.995389,18.177,19.309,1.15,0.174,-0.075,0.79,0.01
14121,395046766854141440,3.635836,51.857429,21.095,19.381,1.036,1.376,-2.803,1.0,0.03
6929,370594968283763712,16.207122,38.537638,20.339,19.49,0.687,0.766,-1.675,0.88,0.05
20453,2881990645518704896,0.765466,40.441082,20.895,19.483,0.78,1.007,-2.287,0.89,0.09
11564,385977337818970624,3.455226,44.767432,18.224,19.494,1.225,0.12,0.032,0.64,0.02
18879,2860685786662289664,3.812185,29.984679,20.104,18.808,0.964,1.102,-2.11,1.0,0.0
15717,403601031744033408,17.740032,50.537877,17.999,18.818,1.017,0.227,-0.208,0.55,0.0
16656,416120346016755200,9.134792,52.202621,18.226,19.216,1.253,0.469,-0.68,0.67,0.07
16030,404847676068560000,16.486134,52.130625,17.754,18.853,1.298,0.274,-0.254,0.69,0.04
3780,361346529305303936,12.417476,33.321979,21.661,19.012,0.512,1.504,-3.249,0.98,0.04
1190,313282271850329216,16.202508,30.748528,19.588,17.801,0.906,1.325,-2.612,1.0,0.01
12153,387753706228845312,9.715369,43.883639,20.417,19.358,0.83,0.985,-2.013,1.0,0.0
4875,364930284376717952,8.474687,34.098567,19.847,18.889,0.954,0.884,-1.809,0.99,0.01
20314,2877677398841296640,2.614544,37.425124,20.312,19.304,0.571,0.8,-1.842,0.84,0.03
20629,2881066162396317824,1.511248,39.235424,17.046,17.625,1.184,0.426,-0.687,0.55,0.23
1681,313430740280042880,16.87217,31.678233,21.287,19.458,0.717,1.197,-2.454,0.99,0.03
8963,375923132912933760,12.937584,43.747411,19.489,18.561,0.838,0.924,-1.779,0.97,0.1
15210,400689559313617792,21.685869,49.974312,18.066,19.334,1.271,0.165,-0.048,0.53,0.01
16022,405054830934683264,15.893758,52.4282,20.23,18.733,1.293,1.429,-2.857,1.0,0.03
16561,415694873676129280,9.01917,51.316047,20.032,19.285,0.746,0.769,-1.55,0.99,0.01
7560,372998157104459520,17.907682,41.783456,19.156,18.03,0.932,1.024,-2.003,1.0,0.01
7041,371884145667007872,19.325788,40.237764,20.222,19.08,0.939,0.913,-2.002,0.99,0.0
13304,391813171880432256,5.989326,45.001477,20.285,19.238,1.098,0.944,-2.122,0.99,0.0
5698,367700229045043456,12.00979,37.954638,19.972,18.635,0.736,1.046,-2.164,1.0,0.0
15925,404422680464835328,16.139775,51.203077,20.119,18.637,0.943,1.228,-2.428,1.0,0.0
6896,370349948989524352,18.550967,39.745516,21.543,19.401,0.926,1.313,-2.971,1.0,0.01
10755,381938178775431040,7.735538,42.192954,18.95,19.024,0.941,0.517,-0.815,0.85,0.12
17182,2858989235926002560,6.94129,30.021043,20.414,19.337,0.928,0.951,-1.806,1.0,0.03
19895,2876053969921514368,2.69702,35.014585,20.578,19.121,0.53,0.94,-1.945,1.0,0.37
9655,378931293646250752,7.29571,38.034659,20.018,19.492,0.883,0.686,-1.396,0.99,0.06
17696,2860534878691998720,5.371203,29.906493,20.423,19.201,0.939,1.053,-2.049,1.0,0.0
16715,416204153712702592,10.338194,52.739628,17.633,18.42,1.168,0.27,-0.406,0.66,0.14
4846,364497901429856384,14.552647,37.573987,20.393,18.969,0.613,0.975,-2.21,0.97,0.0
6179,368879042949206016,11.872726,39.673246,20.078,18.567,0.57,1.018,-2.266,0.99,0.0
6064,368664294585293824,9.602245,39.232222,21.615,19.364,1.122,1.507,-3.403,1.0,0.07
17387,2857522148112978560,5.300759,29.646035,18.921,16.855,0.835,1.345,-2.723,1.0,0.07
20062,2876070840552679424,2.508845,35.135234,20.496,19.158,1.013,1.124,-2.271,1.0,0.0
14000,394750826431663744,5.62343,51.011293,21.228,19.462,0.801,1.276,-2.612,1.0,0.0
18394,2863185491989342976,3.964806,31.669091,20.696,19.245,0.407,0.983,-2.092,1.0,0.04
3249,322425810547298944,21.742596,37.703354,21.538,18.803,0.671,1.498,-3.238,1.0,0.21
14758,397529017435923456,19.747588,44.286399,19.171,17.372,0.787,1.266,-2.571,1.0,0.02
14520,396841753948732928,20.771288,44.434918,19.385,17.94,0.759,1.197,-2.378,1.0,0.01
17563,2858911690292642048,7.615689,30.145658,20.067,18.483,0.991,1.175,-2.359,1.0,0.0
16082,406995503313173376,21.671064,52.264957,21.497,18.811,0.367,1.565,-3.434,1.0,0.02
4686,363846578229352704,13.67625,35.480714,20.798,19.048,0.48,1.045,-2.344,0.95,0.04
6708,370292636945576064,18.514566,39.062131,19.591,18.566,0.912,0.979,-1.921,1.0,0.01
19574,2875197416004838144,0.368923,33.958659,20.05,19.469,0.735,0.68,-1.384,0.94,0.06
8644,375407496318672000,12.248249,42.693353,20.207,18.79,0.236,0.794,-1.677,0.92,0.26
1058,312865213346226688,13.911131,31.546263,21.356,19.273,0.621,1.238,-2.776,1.0,0.01
1770,314083506589136384,17.876749,33.593422,20.148,18.706,0.652,1.099,-2.237,1.0,0.0
4722,364108017182564864,12.536072,36.001636,21.082,19.312,0.385,0.943,-2.218,0.95,0.17
5395,367203765185410816,11.778428,36.770315,17.695,18.648,1.08,0.251,-0.203,0.53,0.01
12839,389925379134142720,9.951225,46.546428,20.243,19.035,1.129,1.124,-2.17,1.0,0.0
18206,2863358905588529152,5.071963,32.738266,20.22,19.031,0.867,0.978,-1.99,1.0,0.0
12728,389725268018250240,11.594769,46.147393,20.337,18.667,0.852,1.277,-2.706,1.0,0.0
10747,382237868711218304,5.967636,43.209298,20.63,19.159,1.008,1.161,-2.555,1.0,0.0
13590,392853516040349568,4.452792,48.873228,20.355,19.351,0.968,0.88,-1.937,1.0,0.01
15271,401627378308377344,17.804548,48.421773,17.097,18.398,1.333,0.329,-0.262,0.53,0.21
13246,391504449631604096,8.870515,50.015634,21.325,19.379,0.75,1.317,-2.671,1.0,0.02
7579,373058389725624960,17.135598,42.105803,18.077,19.009,1.17,0.242,-0.203,0.53,0.01
18283,2861659644728096768,4.0363,31.255361,20.574,19.18,0.789,1.072,-2.172,1.0,0.0
2213,319797290561746432,19.941866,33.397888,20.275,19.317,0.611,0.816,-1.645,0.99,0.01
3676,360700566223768576,10.30202,31.808818,20.359,19.027,0.919,1.073,-2.221,1.0,0.0
2665,320674116724897408,20.104582,35.525004,19.301,17.843,0.592,1.129,-2.125,0.99,0.06
17790,2862016127013110528,2.936483,32.412257,19.808,19.135,0.914,0.783,-1.639,0.99,0.01
8192,374586092411992832,15.897065,41.729233,18.215,18.666,0.962,0.379,-0.525,0.8,0.04
14581,396754583293182080,21.761328,43.857733,20.663,19.445,0.969,0.983,-2.123,1.0,0.0
16980,2810192948540637312,11.079476,29.431375,21.167,19.407,0.319,1.038,-2.279,0.96,0.18
5363,366564158655946240,8.207606,36.383862,21.758,19.312,0.281,1.357,-3.04,1.0,0.35
13111,391229640445430656,7.067065,49.311399,20.386,18.83,0.582,1.021,-2.163,1.0,0.1
10030,379799770392232192,2.991883,38.648261,20.9,19.432,0.889,1.257,-2.585,1.0,0.01
6229,368961094004379008,11.458207,40.085876,19.577,18.521,0.799,0.95,-1.955,1.0,0.04
5291,366717300010174336,8.54915,37.287586,20.619,19.101,0.581,1.112,-2.309,1.0,0.01
1690,313451321763327488,16.935554,31.871594,22.038,19.345,0.455,1.413,-3.113,1.0,0.29
18893,2863175699463945344,4.461838,31.730327,21.344,19.323,0.347,1.154,-2.586,0.98,0.03
1576,314671332993108096,15.653007,34.022506,19.36,18.587,0.649,0.737,-1.49,1.0,0.26
510,310663475670829824,19.982301,32.086866,19.614,17.968,0.727,1.172,-2.353,1.0,0.0
11180,384489393646358912,0.236992,43.189206,20.642,19.198,0.763,1.028,-2.179,1.0,0.0
8035,373739640260364288,18.396095,44.167105,20.154,19.151,1.222,0.911,-1.972,1.0,0.03
17916,2862035059229583488,2.747208,32.679923,20.768,18.904,1.02,1.201,-2.55,1.0,0.0
13928,394450178720696960,3.466879,49.96075,20.031,19.008,0.655,0.835,-1.711,0.96,0.03
