,Object ID,RADEG,DECDEG,Nearest field,Distance to nearest field
0,HEC1,6.3915,40.7276111,m255,0.49285572111301706
1,HEC2,7.1317708,37.5232778,m165,0.4888559961590731
2,HEC3,9.1321708,44.7379694,m328,0.2845009088789365
3,MCEC3,9.5191917,40.7442944,m249,0.4279275347074397
4,MCEC1,9.5812083,41.7874722,m265,0.20605827822652759
5,HEC6,9.6483292,44.2802806,m328,0.4778367843081359
6,MCEC2,10.7291708,43.9577833,m306,0.23657524074943131
7,HEC8,11.36205,40.2297694,m228,0.43676187812626793
8,HEC9,12.6911667,41.6929444,m257,0.41642066220701485
9,HEC10,13.6514792,44.9788694,m338,0.1789968956683898
10,HEC11,13.8220208,38.8508111,m211,0.42403624353349256
11,MCEC4,14.56425,38.0505611,m187,0.15647480347815168
12,HEC13,14.5705375,37.2308111,m162,0.3851844899813639
