ID,c,r_c,r_t,M_V,m_tot,M_bol,M_U,M_B,M_R,M_I,M_J,M_H,M_Ks
1,1.45,1.89,53.22,-2.273,1481.66,-2.822,-1.49,-1.537,-2.757,-3.24,-3.895,-4.389,-4.478
2,1.05,13.25,147.41,-4.305,9829.09,-4.816,-3.65,-3.642,-4.752,-5.204,-5.811,-6.264,-6.348
3,1.08,14.43,175.0,-9.798,1357778.88,-10.337,-9.062,-9.091,-10.262,-10.729,-11.369,-11.861,-11.941
4,1.98,0.98,93.03,-2.634,1881.4,-3.124,-2.016,-2.001,-3.066,-3.504,-4.089,-4.521,-4.601
5,1.29,8.93,175.0,-9.223,787010.75,-9.775,-8.463,-8.502,-9.701,-10.178,-10.826,-11.327,-11.409
6,2.39,0.63,153.45,-6.491,62605.49,-7.048,-5.718,-5.763,-6.974,-7.459,-8.119,-8.622,-8.711
7,1.84,1.25,86.3,-4.317,9448.09,-4.855,-3.603,-3.62,-4.785,-5.255,-5.894,-6.378,-6.465
8,0.66,38.19,175.0,-9.285,820340.88,-9.841,-8.532,-8.567,-9.762,-10.238,-10.886,-11.386,-11.469
9,1.38,7.27,175.0,-6.463,63297.97,-7.006,-5.75,-5.769,-6.927,-7.392,-8.023,-8.499,-8.585
10,1.59,4.52,175.0,-7.015,102807.16,-7.56,-6.263,-6.298,-7.491,-7.969,-8.615,-9.106,-9.194
11,2.01,1.36,138.18,-8.924,587350.5,-9.478,-8.159,-8.202,-9.403,-9.886,-10.539,-11.042,-11.126
12,1.22,4.19,70.06,-3.51,4087.47,-4.036,-2.784,-2.808,-3.976,-4.444,-5.076,-5.55,-5.635
13,1.08,14.63,175.0,-6.897,90544.7,-7.45,-6.128,-6.17,-7.379,-7.863,-8.517,-9.017,-9.105
14,0.83,10.97,73.75,-4.744,12644.26,-5.334,-3.924,-3.984,-5.248,-5.751,-6.442,-6.973,-7.066
15,1.72,3.34,175.0,-9.01,659250.06,-9.556,-8.277,-8.305,-9.481,-9.955,-10.595,-11.087,-11.171
16,2.4,0.38,95.24,-7.178,118158.68,-7.754,-6.441,-6.463,-7.657,-8.138,-8.793,-9.296,-9.385
17,0.55,49.08,175.0,-5.407,23701.23,-5.945,-4.668,-4.697,-5.878,-6.351,-6.993,-7.478,-7.565
18,1.07,5.1,60.08,-3.342,3323.6,-3.889,-2.569,-2.615,-3.822,-4.303,-4.956,-5.451,-5.538
19,0.73,24.56,131.5,-6.698,77244.78,-7.252,-5.931,-5.975,-7.18,-7.663,-8.319,-8.819,-8.908
20,0.94,7.74,67.68,-3.329,3388.43,-3.857,-2.602,-2.629,-3.795,-4.263,-4.896,-5.373,-5.458
21,0.61,22.78,91.92,-2.681,2071.77,-3.195,-1.99,-2.006,-3.134,-3.591,-4.208,-4.67,-4.754
22,0.75,31.07,175.0,-8.433,378512.97,-8.98,-7.686,-7.721,-8.905,-9.382,-10.034,-10.527,-10.613
23,2.3,0.88,175.0,-8.0,255228.7,-8.557,-7.25,-7.282,-8.472,-8.948,-9.6,-10.097,-10.184
24,0.71,24.19,125.13,-4.193,7533.6,-4.73,-3.444,-3.481,-4.666,-5.14,-5.782,-6.267,-6.354
25,0.6,28.24,112.0,-4.992,15944.52,-5.563,-4.193,-4.249,-5.485,-5.978,-6.652,-7.169,-7.259
26,0.54,21.98,76.21,-3.435,3425.51,-4.02,-2.599,-2.674,-3.938,-4.439,-5.128,-5.658,-5.749
27,1.48,2.34,71.3,-3.135,3224.0,-3.673,-2.392,-2.416,-3.61,-4.085,-4.728,-5.21,-5.297
28,0.89,15.3,118.18,-5.633,30128.56,-6.202,-4.85,-4.895,-6.124,-6.615,-7.285,-7.797,-7.887
29,0.86,24.32,175.0,-8.729,484938.94,-9.285,-7.967,-8.01,-9.209,-9.69,-10.345,-10.847,-10.932
30,1.92,1.07,89.02,-3.683,4721.65,-4.207,-2.969,-2.994,-4.144,-4.608,-5.236,-5.709,-5.794
31,1.46,3.81,110.16,-4.478,10510.59,-5.011,-3.763,-3.783,-4.944,-5.412,-6.047,-6.528,-6.614
32,1.03,16.51,175.0,-7.004,102622.16,-7.573,-6.294,-6.304,-7.476,-7.95,-8.592,-9.082,-9.17
33,1.8,1.79,112.66,-6.741,79437.18,-7.324,-6.023,-6.034,-7.216,-7.695,-8.346,-8.843,-8.931
34,1.19,6.53,100.82,-4.172,7420.9,-4.699,-3.45,-3.48,-4.634,-5.101,-5.733,-6.209,-6.295
35,2.31,0.87,175.0,-5.437,23743.28,-5.983,-4.672,-4.714,-5.916,-6.395,-7.046,-7.54,-7.627
36,0.83,17.2,116.17,-5.259,24082.06,-5.768,-4.613,-4.601,-5.705,-6.154,-6.758,-7.209,-7.292
37,1.03,16.25,175.0,-6.452,64483.98,-6.991,-5.718,-5.745,-6.924,-7.397,-8.039,-8.523,-8.61
38,0.88,22.83,175.0,-9.388,907605.62,-9.946,-8.647,-8.677,-9.862,-10.335,-10.983,-11.483,-11.565
39,0.91,13.25,108.7,-4.973,14707.41,-5.538,-4.19,-4.239,-5.462,-5.951,-6.619,-7.13,-7.22
40,2.29,0.53,102.01,-2.803,2307.15,-3.299,-2.177,-2.161,-3.239,-3.681,-4.272,-4.711,-4.792
41,1.38,3.33,80.67,-5.223,19020.54,-5.807,-4.409,-4.469,-5.723,-6.223,-6.909,-7.436,-7.528
42,0.93,12.02,102.42,-3.191,2884.4,-3.719,-2.455,-2.482,-3.659,-4.13,-4.765,-5.243,-5.327
43,1.95,1.98,175.0,-6.962,105335.15,-7.518,-6.282,-6.281,-7.425,-7.892,-8.522,-9.004,-9.091
44,2.04,1.6,175.0,-5.263,20977.96,-5.796,-4.529,-4.557,-5.732,-6.203,-6.84,-7.321,-7.407
45,1.57,1.85,69.32,-3.821,5956.85,-4.348,-3.112,-3.127,-4.283,-4.749,-5.377,-5.849,-5.935
46,1.99,0.58,56.27,-2.28,1384.43,-2.8,-1.586,-1.586,-2.742,-3.205,-3.826,-4.29,-4.373
47,2.1,1.38,175.0,-7.373,134670.67,-7.947,-6.616,-6.65,-7.855,-8.335,-8.992,-9.496,-9.585
48,0.75,6.77,37.84,-2.727,1854.12,-3.276,-1.928,-1.985,-3.213,-3.698,-4.356,-4.854,-4.941
49,1.48,0.99,29.56,-2.645,2106.13,-3.161,-1.964,-1.966,-3.1,-3.559,-4.176,-4.636,-4.721
50,1.13,5.42,73.45,-4.536,11947.56,-5.042,-3.89,-3.877,-4.98,-5.43,-6.032,-6.481,-6.564
51,1.91,2.16,175.0,-9.705,1250120.25,-10.247,-8.956,-8.991,-10.176,-10.645,-11.289,-11.785,-11.866
52,1.36,0.89,20.4,-2.666,1944.58,-3.153,-2.059,-2.043,-3.092,-3.526,-4.105,-4.534,-4.614
53,1.46,6.02,175.0,-7.221,121838.48,-7.778,-6.444,-6.491,-7.706,-8.189,-8.847,-9.35,-9.44
54,1.17,3.19,47.56,-4.183,6831.02,-4.741,-3.38,-3.443,-4.671,-5.159,-5.824,-6.33,-6.419
55,1.45,6.23,175.0,-9.412,919522.56,-9.973,-8.649,-8.689,-9.892,-10.369,-11.022,-11.526,-11.609
56,1.43,4.39,118.65,-5.694,31066.48,-6.227,-4.973,-4.996,-6.161,-6.63,-7.266,-7.746,-7.832
57,0.84,16.59,114.04,-3.314,3863.1,-3.831,-2.631,-2.639,-3.769,-4.226,-4.843,-5.305,-5.39
58,1.45,3.13,88.47,-2.919,2366.28,-3.428,-2.254,-2.256,-3.366,-3.818,-4.427,-4.883,-4.965
59,0.94,4.04,35.24,-2.866,2325.39,-3.371,-2.223,-2.206,-3.311,-3.759,-4.36,-4.808,-4.889
60,1.38,2.01,48.09,-4.233,7519.7,-4.812,-3.414,-3.476,-4.732,-5.232,-5.914,-6.437,-6.528
61,1.28,5.18,99.64,-2.681,2076.57,-3.244,-1.866,-1.921,-3.177,-3.67,-4.339,-4.846,-4.936
62,1.57,4.73,175.0,-9.622,1160139.25,-10.168,-8.883,-8.913,-10.092,-10.56,-11.203,-11.698,-11.779
63,0.6,8.66,34.75,-2.604,1975.51,-3.16,-1.819,-1.866,-3.09,-3.575,-4.235,-4.734,-4.823
64,0.6,30.07,120.28,-3.972,6679.35,-4.526,-3.197,-3.242,-4.455,-4.94,-5.598,-6.097,-6.186
65,0.97,12.81,119.54,-3.621,4133.56,-4.168,-2.843,-2.894,-4.101,-4.582,-5.237,-5.734,-5.821
66,0.86,24.24,175.0,-6.103,43634.4,-6.654,-5.345,-5.386,-6.581,-7.062,-7.716,-8.215,-8.303
67,1.86,2.42,175.0,-8.003,256184.89,-8.549,-7.263,-7.293,-8.473,-8.947,-9.596,-10.092,-10.179
68,1.39,7.21,175.0,-9.982,1598904.75,-10.527,-9.229,-9.265,-10.449,-10.922,-11.57,-12.071,-12.152
69,0.71,22.46,114.92,-4.676,11784.69,-5.198,-3.97,-3.989,-5.136,-5.599,-6.224,-6.694,-6.778
70,0.92,7.23,59.71,-5.596,26856.41,-6.15,-4.821,-4.868,-6.079,-6.562,-7.221,-7.722,-7.81
71,0.76,17.3,99.81,-3.821,5250.29,-4.358,-3.089,-3.12,-4.29,-4.761,-5.402,-5.888,-5.974
72,2.22,0.93,154.58,-4.775,14852.26,-5.283,-4.123,-4.117,-5.22,-5.67,-6.275,-6.726,-6.809
73,1.28,9.18,175.0,-9.326,852543.25,-9.875,-8.57,-8.609,-9.802,-10.275,-10.923,-11.421,-11.504
74,1.82,1.39,91.2,-4.172,8138.34,-4.685,-3.489,-3.499,-4.624,-5.08,-5.694,-6.153,-6.237
75,1.85,0.34,23.96,-2.961,2175.96,-3.534,-2.097,-2.186,-3.464,-3.965,-4.647,-5.164,-5.256
76,0.72,22.02,116.8,-3.279,3534.47,-3.789,-2.622,-2.622,-3.724,-4.175,-4.782,-5.238,-5.321
77,1.15,12.43,175.0,-8.856,547356.5,-9.408,-8.091,-8.134,-9.336,-9.817,-10.471,-10.973,-11.058
78,1.96,1.9,175.0,-9.909,1500243.75,-10.456,-9.169,-9.198,-10.375,-10.846,-11.493,-11.992,-12.073
79,1.34,5.91,129.14,-5.434,21211.43,-6.003,-4.616,-4.683,-5.929,-6.424,-7.098,-7.614,-7.704
80,0.89,20.14,156.54,-4.702,12401.2,-5.244,-3.956,-3.988,-5.176,-5.652,-6.299,-6.789,-6.876
81,1.94,2.01,175.0,-9.921,1533259.0,-10.462,-9.196,-9.219,-10.382,-10.849,-11.487,-11.98,-12.06
82,2.49,0.28,85.81,-4.04,7049.24,-4.54,-3.398,-3.392,-4.479,-4.924,-5.521,-5.965,-6.047
83,2.38,0.72,175.0,-9.777,1309257.38,-10.33,-9.037,-9.066,-10.246,-10.716,-11.363,-11.862,-11.943
84,0.77,29.68,175.0,-7.403,135446.53,-7.981,-6.631,-6.672,-7.891,-8.375,-9.042,-9.554,-9.644
85,0.86,23.97,175.0,-6.006,41423.9,-6.557,-5.245,-5.283,-6.486,-6.967,-7.622,-8.118,-8.207
86,1.77,2.47,145.75,-7.139,108561.05,-7.72,-6.38,-6.413,-7.625,-8.11,-8.773,-9.282,-9.372
87,1.68,2.27,109.33,-6.725,77964.37,-7.273,-5.967,-6.006,-7.203,-7.682,-8.333,-8.827,-8.915
88,1.85,0.82,58.49,-3.615,4123.66,-4.18,-2.798,-2.865,-4.108,-4.6,-5.271,-5.784,-5.873
89,1.44,1.29,35.67,-2.011,1346.94,-2.515,-1.401,-1.364,-2.451,-2.894,-3.486,-3.924,-4.007
90,2.16,0.73,105.9,-3.467,3858.6,-4.01,-2.714,-2.748,-3.943,-4.421,-5.068,-5.558,-5.645
91,2.28,0.45,84.97,-2.818,2326.35,-3.344,-2.121,-2.127,-3.28,-3.744,-4.369,-4.839,-4.924
92,1.36,1.08,24.43,-2.065,1369.31,-2.548,-1.499,-1.456,-2.484,-2.91,-3.475,-3.89,-3.97
93,1.27,4.49,84.5,-4.961,16291.41,-5.507,-4.215,-4.246,-5.437,-5.914,-6.562,-7.054,-7.142
94,0.59,44.73,175.0,-6.226,50709.87,-6.774,-5.471,-5.507,-6.704,-7.183,-7.835,-8.328,-8.415
95,1.02,16.82,175.0,-5.399,25876.98,-5.921,-4.719,-4.723,-5.855,-6.315,-6.935,-7.402,-7.487
96,1.33,8.13,175.0,-6.951,99442.98,-7.496,-6.205,-6.237,-7.426,-7.904,-8.549,-9.041,-9.129
97,0.82,26.29,175.0,-9.905,1511709.12,-10.447,-9.177,-9.202,-10.366,-10.832,-11.471,-11.964,-12.043
98,1.94,2.02,175.0,-6.192,45865.65,-6.75,-5.404,-5.46,-6.678,-7.164,-7.827,-8.332,-8.421
99,1.36,7.68,175.0,-7.283,133181.5,-7.834,-6.535,-6.57,-7.759,-8.233,-8.878,-9.371,-9.459
100,1.11,13.62,175.0,-8.987,622489.56,-9.541,-8.235,-8.271,-9.463,-9.942,-10.59,-11.088,-11.172
101,0.62,22.36,93.92,-6.726,74459.73,-7.296,-5.919,-5.98,-7.22,-7.714,-8.386,-8.901,-8.992
102,1.11,12.55,162.53,-4.707,13085.41,-5.251,-3.978,-4.001,-5.18,-5.655,-6.3,-6.789,-6.878
103,1.0,8.82,87.43,-2.263,1349.47,-2.783,-1.55,-1.566,-2.726,-3.191,-3.816,-4.283,-4.367
104,1.05,6.71,75.79,-4.884,14549.12,-5.463,-4.093,-4.14,-5.38,-5.876,-6.555,-7.077,-7.169
105,1.77,2.26,133.92,-4.5,10614.98,-5.024,-3.791,-3.809,-4.962,-5.426,-6.054,-6.525,-6.61
106,1.7,3.51,175.0,-9.538,1076929.88,-10.084,-8.794,-8.825,-10.01,-10.48,-11.123,-11.618,-11.7
107,0.88,22.81,175.0,-9.589,1127213.25,-10.136,-8.86,-8.884,-10.057,-10.523,-11.163,-11.657,-11.737
108,1.42,1.26,33.15,-2.109,1360.12,-2.623,-1.455,-1.446,-2.557,-3.01,-3.618,-4.074,-4.158
109,1.27,3.6,67.7,-4.058,7186.78,-4.576,-3.371,-3.38,-4.513,-4.972,-5.591,-6.055,-6.14
110,0.93,9.3,78.75,-2.868,2601.4,-3.403,-2.139,-2.164,-3.337,-3.808,-4.445,-4.925,-5.012
111,1.21,6.11,98.96,-4.162,6880.72,-4.694,-3.418,-3.454,-4.632,-5.104,-5.743,-6.224,-6.31
112,0.82,11.19,73.68,-2.365,1718.37,-2.876,-1.713,-1.697,-2.814,-3.267,-3.874,-4.325,-4.409
113,1.87,2.36,175.0,-6.591,74479.98,-7.133,-5.851,-5.879,-7.064,-7.54,-8.184,-8.671,-8.759
114,0.81,14.04,90.16,-6.703,82007.23,-7.245,-5.974,-5.999,-7.175,-7.649,-8.291,-8.777,-8.865
