,ID,RAdeg,DECdeg
3,308450708520051328,16.336431,29.349694
33,309013963417858048,19.192479,29.373932
40,297195381648197376,22.162223,29.431756
87,308420467655296768,17.350642,29.477303
129,309224210654444416,21.524008,29.706177
161,309467378818723712,20.33798,30.372822
202,309233766957578368,21.802705,29.900503
287,310045442761225472,18.329422,30.086679
359,310173638945499904,17.96719,31.037115
366,310212023068298368,19.700064,30.379772
388,310685191025757184,19.392978,31.988215
481,310624889684661376,19.877649,31.866841
489,310632277028628864,19.522252,31.804447
554,311234053486176512,14.428196,29.453917
572,310164675349147776,18.34939,31.025089
622,310534970249216512,19.260823,31.632043
652,311295763575827456,13.867349,29.6278
663,310112792143414528,18.542014,30.93022
720,312675685028842752,14.458097,31.484737
745,310272564927395200,19.449063,30.760162
746,310273801878097408,19.16335,30.570532
749,310283697482791424,19.291307,30.788335
751,310289160681145088,19.314082,30.909413
760,310481369057408768,19.061672,31.033796
767,310513770290731392,19.662198,31.373767
831,312774709795106944,13.656051,31.413066
842,312808932094517504,12.902998,31.325471
860,312444547068814720,14.144032,30.259011
861,312446608653195904,14.294257,30.230513
873,311970756341247872,12.116621,29.430707
883,312072774699939328,13.498086,29.972132
889,312104037766776576,12.871069,29.945715
938,312946130530088320,13.90612,32.185427
950,312983818867113728,13.866578,32.350021
983,311547719244651776,15.603309,30.052838
993,312608232566844416,14.86149,31.240104
1014,312498113900557952,14.199332,30.792138
1030,312621980758216192,15.309273,31.230992
1065,312169493067997056,12.08027,29.624964
1137,311934442393303936,12.895909,29.401291
1153,313166891848953472,17.423564,31.158984
1156,313171908369970560,17.495096,31.167333
1157,313172423766526848,17.576348,31.21513
1162,313201698263924096,17.699948,31.474258
1180,312882358855657344,13.830973,31.749219
1203,313302368001631872,16.106974,31.056905
1209,313308144733124864,16.171378,31.080392
1214,312229931847530112,11.646994,29.863805
1223,312255774666282752,11.732179,30.200946
1235,312298140224252288,12.656703,30.091766
1236,313210150759544320,17.972214,31.692492
1245,313226123743397888,17.306045,31.39868
1253,313250695250632832,17.641015,31.616841
1281,313038901822661888,17.291013,30.522509
1299,312546561132324352,14.088517,30.890359
1303,312559858351049984,14.245235,31.152344
1312,313570412615436928,18.351405,31.635004
1323,313601469524018048,18.763221,31.933288
1349,314118587882266496,18.253862,33.958262
1358,314150473719392896,15.301937,31.780421
1397,314017600315271040,18.127503,33.334552
1405,314246749706098176,15.538451,32.476706
1429,313652631175592320,17.724137,32.029954
1464,314227645691796608,15.0339,32.238263
1488,313746914296516352,19.316162,32.707605
1518,314700332612298496,17.129667,33.109178
1573,314667106745406336,15.554533,33.801488
1588,314831685596250496,17.556321,33.638302
1631,313898032721424896,17.797243,32.701819
1651,315026917630485760,16.360816,34.234486
1653,315028846071104256,16.208782,34.207212
1671,313817081177711872,19.030044,33.089347
1672,313817459135248768,18.906873,33.067793
1683,313437470493669504,16.991876,31.79227
1694,313461904562399872,17.306215,31.979439
1737,314061104040132608,17.906102,33.354306
1806,313495714544961536,16.664414,31.905272
1830,313532101507812224,16.946482,32.309931
1831,313533956933681792,16.742556,32.30845
1834,313536568273789312,16.849773,32.404044
1835,313536568273788160,16.85402,32.412537
1842,313546257720123392,16.774667,32.34811
1850,313555706648462208,16.815439,32.52045
1881,313928471153748736,17.308979,32.75209
1882,313933595050857984,17.083139,32.720756
1912,315119826362810368,16.843964,34.550497
1936,314314266592049408,16.774131,32.795075
1949,314328594603215232,16.529593,32.83992
