ID,RADEG_x,DECDEG_x,CLASS,DATATABLE,Object ID,RADEG_y,DECDEG_y,Nearest field,Distance to nearest field
PAndAS-04,1.178875,47.36179722222222,1,huxor14_table1,3.872304074152539e+17,1.178847,47.361741,m368,52.02410985859552
PAndAS-06,1.5497916666666665,41.68915833333333,1,huxor14_table1,3.841617005238811e+17,1.549766,41.689172,m268,58.260174230937366
PAndAS-09,3.22775,45.098850000000006,1,huxor14_table1,3.860003631417096e+17,3.227785,45.098832,m333,36.24456647456262
PAndAS-16,6.249666666666666,39.70364166666667,1,huxor14_table1,3.801384199751497e+17,6.249698,39.703678,m206,66.54867115740296
MCGC1,6.6987083,39.7461944,1,m31rbcV5,3.7939181722020826e+17,6.698991,39.746134,m229,50.54943622767509
B,6.7175,38.74947,1,di_tullio_zinn_14_table1,3.7920898905201165e+17,6.717511,38.749474,m205,60.1220331299446
H2,7.0135833,40.0486917,1,m31rbcV5,3.7942466512957414e+17,7.013505,40.048765,m229,19.24009967919472
MCGC2,7.437425,41.2192389,1,m31rbcV5,3.817451500611725e+17,7.437459,41.219276,m253,5.060469194557758
2M002,7.440875,37.4916667,4,m31rbcV5,3.668897858961348e+17,7.440798,37.491587,m165,32.238360708529754
MCGC3,7.6136958,41.60545,1,m31rbcV5,3.818528979040717e+17,7.61382,41.605268,m253,49.62785066589461
B514,7.7909208,37.900025,1,m31rbcV5,3.6699612928626035e+17,7.790924,37.899982,m183,54.45656912269569
PAndAS-21,7.864666666666667,39.5394,1,huxor14_table1,3.806499333996307e+17,7.864676,39.539409,m207,59.749835925486714
C,7.86467,39.53942,1,di_tullio_zinn_14_table1,3.806499333996307e+17,7.864676,39.539409,m207,59.749835925486714
SD-GC7,8.0925,48.524166666666666,1,veljanoski13_table2,3.911211667470468e+17,8.092466,48.524201,m395,43.03222899248596
PA-N147-1,8.147083333333333,48.330000000000005,1,veljanoski13_table2,3.909304014783685e+17,8.147074,48.329818,m395,21.39270066428917
Hodge-I,8.300833333333333,48.50897222222222,1,veljanoski13_table2,3.909561326296836e+17,8.300713,48.508936,m395,43.20897204636309
Hodge-III,8.313333333333334,48.45641666666667,1,veljanoski13_table2,3.909527353137096e+17,8.313091,48.456436,m395,37.99878568886219
G002,8.3907417,39.5219222,1,m31rbcV5,3.8066089415533786e+17,8.390788,39.521879,m207,36.42543516596766
PA-N147-2,8.430416666666666,48.645833333333336,1,veljanoski13_table2,3.909616344859245e+17,8.430422,48.645938,m402,59.02503729420038
H9,8.5717625,37.5120611,1,m31rbcV5,3.6691637604268954e+17,8.571914,37.5119,m167,37.83784542288709
B289,8.5870083,41.7975389,1,m31rbcV5,3.8149164390952435e+17,8.587023,41.797534,m276,42.38786235605267
B290,8.5872792,41.4717167,1,m31rbcV5,3.8109770951074906e+17,8.587284,41.471693,m254,36.25500967932978
PAndAS-27,8.806375,45.17718055555555,1,huxor14_table1,3.890034729919064e+17,8.80634,45.177212,m340,50.11626844988811
