,Object ID,RADEG,DECDEG,Nearest field,Distance to nearest field
0,PAndAS-03,0.9850416666666666,40.888666666666666,m243,0.023986071709069606
1,PAndAS-04,1.178875,47.36179722222222,m368,0.4679143953457546
2,PAndAS-05,1.3506249999999995,43.92658333333333,m310,0.1270897233326473
3,PAndAS-06,1.5497916666666665,41.68915833333333,m268,0.5239368850832986
4,PAndAS-07,2.713958333333333,39.59959722222222,m224,0.503321511141125
5,PAndAS-08,3.2185416666666664,38.29662777777778,m180,0.35969245082641477
6,PAndAS-09,3.22775,45.098850000000006,m333,0.3259356980703671
7,PAndAS-10,3.411083333333333,45.186425,m333,0.4757470657138253
8,PAndAS-11,3.7317916666666666,44.621208333333335,m335,0.542378731407189
9,PAndAS-12,4.416999999999999,43.31083888888889,m293,0.25871663393718974
10,PAndAS-13,4.428,43.07550833333334,m293,0.1725166622058498
11,PAndAS-14,5.141166666666665,36.659572222222224,m161,0.5125665793830073
12,A,5.14119,36.65953,m161,0.5126093884086094
13,PAndAS-15,5.683624999999998,41.937266666666666,m278,0.35722749015448924
14,PAndAS-16,6.249666666666666,39.70364166666667,m206,0.5984429998715964
15,MCGC1,6.6987083,39.7461944,m229,0.4546061674167515
16,PAndAS-17,6.717499999999999,38.749475,m205,0.5406946202871805
17,B,6.7175,38.74947,m205,0.5406986836124192
18,H2,7.0135833,40.0486917,m229,0.17312505664172842
19,PAndAS-18,7.096916666666666,39.91801666666667,m229,0.31631883891302354
20,H3,7.3756208,41.8422472,m277,0.328216947884618
21,MCGC2,7.437425,41.2192389,m253,0.045481019350072226
22,PAndAS-19,7.550916666666666,39.84979722222222,m231,0.5805743861393826
23,MCGC3,7.6136958,41.60545,m253,0.44646415724469
24,B514,7.7909208,37.900025,m183,0.48971212769422523
25,PAndAS-20,7.848916666666667,41.98892222222222,m277,0.3936873508569841
26,PAndAS-21,7.864666666666666,39.5394,m207,0.5373429560049174
27,C,7.86467,39.53942,m207,0.5373537787340743
28,H7,7.9772125,40.1130972,m231,0.16334764648691222
29,PAndAS-22,8.034833333333331,40.62545,m231,0.4489847508166565
30,SD-GC7,8.0925,48.524166666666666,m395,0.3869625160715375
31,SD-GC5,8.095416666666667,48.430277777777775,m395,0.29314855363108094
32,PA-N147-1,8.147083333333333,48.330000000000005,m395,0.19257117208749788
33,G001,8.1939,39.5779639,m207,0.4146370896095944
34,SD-GC10,8.196666666666665,48.53630555555555,m395,0.40109056775074137
35,Hodge-I,8.300833333333333,48.50897222222222,m395,0.3886459696093966
36,Hodge-II,8.306666666666667,48.48019444444444,m395,0.3625398331838601
37,PAndAS-23,8.308874999999999,39.58775833333333,m207,0.3993341793531204
38,Hodge-IV,8.3125,48.536,m395,0.41674875446372406
39,Hodge-III,8.313333333333334,48.45641666666667,m395,0.3417716815493641
40,G002,8.3907417,39.5219222,m207,0.32762556976976903
41,PA-N147-2,8.430416666666666,48.645833333333336,m402,0.5309206782919609
42,PAndAS-24,8.460708333333333,38.64112222222222,m185,0.447074361962297
43,PAndAS-25,8.525624999999998,43.251847222222224,m297,0.2556005472860646
44,PA-N147-3,8.541666666666666,49.04416666666666,m402,0.28716914499510837
45,H8,8.5642083,39.8812306,m231,0.43181748270463843
46,H9,8.5717625,37.5120611,m167,0.34048374378884044
