,Object ID,Nearest field,Distance to nearest field
0,C1,m095,2.5399787377947765
1,2M034,m404,3.3224832576744694
2,PAndAS-03,m243,0.023986071709069606
3,PAndAS-04,m368,0.4679143953457546
4,PAndAS-05,m310,0.1270897233326473
5,2M035,m267,0.614940209151506
6,PAndAS-06,m268,0.5239368850832986
7,C2,m095,0.36976445336715674
8,C3,m095,0.4833794231321106
9,PAndAS-07,m224,0.503321511141125
10,C4,m072,0.8239107779707471
11,PAndAS-08,m180,0.35969245082641477
12,PAndAS-09,m333,0.3259356980703671
13,PAndAS-10,m333,0.4757470657138253
14,C5,m054,1.821914175755436
15,B518,m201,0.3329120386365927
16,PAndAS-11,m335,0.542378731407189
17,C6,m072,1.0980394444141364
18,2M031,m092,0.4521134886191797
19,PAndAS-12,m293,0.25871663393718974
20,PAndAS-13,m293,0.1725166622058498
21,PAndAS-14,m161,0.5125665793830073
22,A,m161,0.5126093884086094
23,2M032,m390,0.19737196621289746
24,PAndAS-15,m278,0.35722749015448924
25,C7,m041,3.8931771896621528
26,2M012,m341,0.4494076814307989
27,PAndAS-16,m206,0.5984429998715964
28,2M018,m189,0.42022856936466996
29,HEC1,m255,0.49285572111301706
30,2M023,m255,0.3338212217364347
31,2M001,m255,0.3471264182758016
32,2M024,m319,0.1869825655192694
33,C8,m041,4.362971805422136
34,MCGC1,m229,0.4546061674167515
35,PAndAS-17,m205,0.5406946202871805
36,B,m205,0.5406986836124192
37,2M014,m142,0.43326325689245154
38,2M043,m339,0.044672379788539315
39,2M019,m229,0.04863202631443385
40,H2,m229,0.17312505664172842
41,PAndAS-18,m229,0.31631883891302354
42,HEC2,m165,0.4888559961590731
43,2M036,m205,0.12272826809213236
44,2M010,m205,0.313910462344291
45,2M011,m183,0.23367002638521156
46,H3,m277,0.328216947884618
47,MCGC2,m253,0.045481019350072226
48,2M002,m165,0.2899594162950875
49,2M042,m277,0.4508489552956441
50,PAndAS-19,m231,0.5805743861393826
51,2M039,m253,0.1480683313331522
52,MCGC3,m253,0.44646415724469
53,2M003,m340,0.36158054375794113
54,B514,m183,0.48971212769422523
55,PAndAS-20,m277,0.3936873508569841
56,PAndAS-21,m207,0.5373429560049174
57,C,m207,0.5373537787340743
58,2M009,m253,0.4192525371212659
59,2M040,m231,0.42781976204871525
60,2M004,m231,0.43144215916576373
61,H7,m231,0.16334764648691222
62,PAndAS-22,m231,0.4489847508166565
63,C9,m011,5.225281146301189
64,SD-GC7,m395,0.3869625160715375
65,SD-GC5,m395,0.29314855363108094
66,PA-N147-1,m395,0.19257117208749788
67,SH01,m231,0.15953500734120835
68,G001,m207,0.4146370896095944
69,SD-GC10,m395,0.40109056775074137
70,Hodge-I,m395,0.3886459696093966
71,SK001C,m231,0.14309307606238003
72,Hodge-II,m395,0.3625398331838601
73,PAndAS-23,m207,0.3993341793531204
74,Hodge-IV,m395,0.41674875446372406
75,Hodge-III,m395,0.3417716815493641
76,SK002C,m231,0.21372030007830553
77,SK001B,m231,0.1755173335761412
78,SK002B,m231,0.368410475169466
79,G002,m207,0.32762556976976903
80,SK003C,m231,0.1728609975387942
81,SK004C,m231,0.1816464761696253
82,SK003B,m212,0.4528563338534063
83,SK005C,m212,0.39296841040229114
